"","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BUILDING.CLASS.AT.PRESENT","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","TAX.CLASS.PRESENT.SIMPLE","TAX.CLASS.CHANGE","PROPERTY.CLASS.CHANGE","MONTH","HAS.LAND.AREA","HAS.GROSS.AREA"
"1","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",2214693,2013-05-20,"2",TRUE,TRUE,"5",FALSE,FALSE
"2","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",1654656,2013-05-16,"2",TRUE,TRUE,"5",FALSE,FALSE
"3","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",1069162,2013-05-23,"2",TRUE,TRUE,"5",FALSE,FALSE
"4","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",1374637,2013-05-15,"2",TRUE,TRUE,"5",FALSE,FALSE
"5","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",1649565,2013-05-13,"2",TRUE,TRUE,"5",FALSE,FALSE
"6","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",1705568,2013-05-21,"2",TRUE,TRUE,"5",FALSE,FALSE
"7","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",2036500,2013-07-10,"2",TRUE,TRUE,"7",FALSE,FALSE
"8","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",2214693,2013-06-04,"2",TRUE,TRUE,"6",FALSE,FALSE
"9","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",2418343,2013-05-31,"2",TRUE,TRUE,"5",FALSE,FALSE
"10","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",2749275,2013-05-24,"2",TRUE,TRUE,"5",FALSE,FALSE
"11","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",2189237,2013-07-02,"2",TRUE,TRUE,"7",FALSE,FALSE
"12","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",2291062,2013-05-24,"2",TRUE,TRUE,"5",FALSE,FALSE
"13","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",1603743,2013-07-22,"2",TRUE,TRUE,"7",FALSE,FALSE
"14","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",2927468,2013-07-16,"2",TRUE,TRUE,"7",FALSE,FALSE
"15","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",3640243,2013-07-12,"2",TRUE,TRUE,"7",FALSE,FALSE
"16","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",3232943,2013-07-10,"2",TRUE,TRUE,"7",FALSE,FALSE
"17","GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","2","R4","10014",0,0,0,0,0,1948,"2","R4",6898643,2013-07-12,"2",TRUE,TRUE,"7",FALSE,FALSE
"18","ALPHABET CITY",NA,"4","RK","10009",0,0,1,0,0,2008,"4","RK",360000,2013-06-13,"4",TRUE,TRUE,"6",FALSE,FALSE
"19","ALPHABET CITY","03 THREE FAMILY HOMES","1","C0","10009",3,0,3,2381,3084,1899,"1","C0",3150000,2013-03-06,"1",TRUE,TRUE,"3",TRUE,TRUE
"20","ALPHABET CITY","04 TAX CLASS 1 CONDOS","1C","R6","10009",1,0,1,0,0,1955,"1","R6",3450000,2013-03-27,"1",TRUE,TRUE,"3",FALSE,FALSE
"21","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","C4","10009",20,0,20,2426,9345,1900,"2","C4",3650000,2012-09-06,"2",TRUE,TRUE,"9",TRUE,TRUE
"22","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","C4","10009",13,0,13,2726,13002,1910,"2","C4",895250,2012-10-25,"2",TRUE,TRUE,"10",TRUE,TRUE
