"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"8",7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,"7"
"17",8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,"7"
"38",8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,"7"
"39",5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,"4"
"42",8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,"4"
"80",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,"4"
"95",5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,"4"
"129",8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,"7"
"152",9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,"4"
"162",7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,"4"
"168",7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,"4"
"171",7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,"4"
"199",5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,"7"
"200",6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,"4"
"201",9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,"7"
"206",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,"7"
"207",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,"7"
"210",11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,"7"
"225",8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,"4"
"231",5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,"7"
"244",15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,"7"
"245",15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,"7"
"260",10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,"7"
"266",11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,"7"
"267",8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"4"
"268",7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,"8"
"279",10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,"8"
"280",8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,"7"
"282",7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,"7"
"284",8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,"7"
"289",8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,"7"
"291",8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,"7"
"319",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,"7"
"321",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,"7"
"327",11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,"7"
"335",7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,"7"
"336",11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,"7"
"340",12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,"7"
"347",6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,"7"
"358",10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,"7"
"359",11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,"7"
"365",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,"7"
"367",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,"7"
"376",11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,"7"
"378",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,"7"
"396",12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,"7"
"408",12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,"7"
"410",12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,"4"
"414",9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,"7"
"421",9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,"7"
"422",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,"7"
"426",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,"7"
"441",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,"8"
"443",15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,"7"
"444",10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,"7"
"445",5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,"7"
"454",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,"7"
"456",11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,"8"
"460",11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,"3"
"482",9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,"8"
"492",9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,"7"
"493",8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,"7"
"496",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,"8"
"499",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,"8"
"502",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,"7"
"503",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,"7"
"504",10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,"7"
"507",10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,"7"
"510",13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,"7"
"514",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,"7"
"515",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,"7"
"539",12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,"7"
"577",9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,"4"
"584",12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,"7"
"585",11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,"7"
"587",11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,"7"
"589",5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,"8"
"590",10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,"7"
"601",8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,"4"
"607",9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,"7"
"639",7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,"7"
"646",7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,"7"
"648",8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,"4"
"649",8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,"7"
"658",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,"7"
"660",7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,"4"
"691",7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,"3"
"704",7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,"4"
"725",7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,"4"
"798",9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,"7"
"803",5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,"7"
"806",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,"7"
"808",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,"7"
"814",6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,"4"
"822",4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,"7"
"827",7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,"7"
"829",7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,"8"
"831",7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,"4"
"833",10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,"3"
"834",11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,"4"
"837",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,"7"
"838",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,"7"
"841",11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,"7"
"858",8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,"7"
"859",11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,"7"
"873",7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,"4"
"874",9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,"7"
"875",10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,"7"
"876",8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,"7"
"877",7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,"4"
"888",10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,"7"
"903",7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,"7"
"904",6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,"7"
"905",6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,"7"
"914",9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,"7"
"926",8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,"7"
"928",8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,"4"
"930",8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,"7"
